0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:39:41 +0530] "GET /Frontend/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:40:01 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:40:01 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:18 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:18 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:18 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:18 +0530] "GET /Frontend/images//images.jpg%20class= HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:26 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3099
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:27 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:38 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3105
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:43:38 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:44:29 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:44:29 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:44:29 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 200 243238
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:13 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:13 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:13 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:33 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:33 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:33 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:47 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:45:47 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:08 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3269
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:08 +0530] "GET /Frontend/images//icon%20blog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:08 +0530] "GET /Frontend/images//Blog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:08 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:08 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:27 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:27 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:39 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:47:39 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:49:33 +0530] "GET /Frontend/Index.html HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:49:33 +0530] "GET /Frontend/images//images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:12:49:33 +0530] "GET /Frontend/images//images2.jpg HTTP/1.1" 304 -
